"No.","Time","Source","Destination","Protocol","Length","Info"
"696","6.018728","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"697","6.018728","206.247.138.14","192.168.1.193","UDP","86","8801  >  62301 Len=44"
"698","6.018728","206.247.138.14","192.168.1.193","UDP","56","8801  >  62301 Len=14"
"699","6.037145","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"700","6.037145","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"701","6.037145","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"702","6.048851","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"703","6.048851","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"704","6.058881","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62300 Len=1036"
"705","6.059210","192.168.1.193","206.247.138.14","UDP","229","62302  >  8801 Len=187"
"706","6.060620","206.247.138.14","192.168.1.193","UDP","165","8801  >  62302 Len=123"
"707","6.060620","206.247.138.14","192.168.1.193","TLSv1.3","131","Application Data"
"708","6.069005","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"709","6.069005","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"710","6.069219","192.168.1.193","206.247.138.14","TLSv1.3","104","Application Data"
"711","6.078859","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"712","6.078859","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"713","6.084901","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56859 [RST] Seq=1 Win=0 Len=0"
"714","6.084901","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56859 [RST] Seq=1 Win=0 Len=0"
"715","6.084901","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56860 [RST] Seq=1 Win=0 Len=0"
"716","6.084901","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56851 [RST] Seq=1 Win=0 Len=0"
"717","6.086775","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56860 [RST] Seq=1 Win=0 Len=0"
"718","6.086775","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56851 [RST] Seq=1 Win=0 Len=0"
"719","6.088858","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"720","6.090798","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56861 [RST] Seq=1 Win=0 Len=0"
"721","6.090798","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56861 [RST] Seq=1 Win=0 Len=0"
"722","6.092836","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56862 [RST] Seq=1 Win=0 Len=0"
"723","6.092836","2600:1f18:4405:f30b:8722:fc55:e8aa:aa6c","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56862 [RST] Seq=1 Win=0 Len=0"
"724","6.098999","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"725","6.098999","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"726","6.108914","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"727","6.110692","206.247.138.14","192.168.1.193","TCP","54","443  >  56902 [ACK] Seq=20706 Ack=50888 Win=65536 Len=0"
"728","6.114269","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Server Hello, Change Cipher Spec"
"729","6.114269","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","762","443  >  56904 [PSH, ACK] Seq=1361 Ack=518 Win=73728 Len=688 [TCP PDU reassembled in 732]"
"730","6.114269","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","1434","443  >  56904 [ACK] Seq=2049 Ack=518 Win=73728 Len=1360 [TCP PDU reassembled in 732]"
"731","6.114269","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","1434","443  >  56904 [ACK] Seq=3409 Ack=518 Win=73728 Len=1360 [TCP PDU reassembled in 732]"
"732","6.114269","2407:30c0:182::aa72:3453","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","161","Application Data"
"733","6.114383","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TCP","74","56904  >  443 [ACK] Seq=518 Ack=4856 Win=66560 Len=0"
"734","6.118741","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"735","6.118741","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"736","6.118741","206.247.138.14","192.168.1.193","UDP","165","8801  >  62302 Len=123"
"737","6.125904","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TLSv1.3","154","Change Cipher Spec, Application Data"
"738","6.126406","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TCP","1434","56904  >  443 [ACK] Seq=598 Ack=4856 Win=66560 Len=1360 [TCP PDU reassembled in 740]"
"739","6.126406","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TCP","1434","56904  >  443 [ACK] Seq=1958 Ack=4856 Win=66560 Len=1360 [TCP PDU reassembled in 740]"
"740","6.126406","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3453","TLSv1.3","296","Application Data"
"741","6.129259","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"742","6.129259","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
